                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.70073,                0.47027,                0.91077,                0.81349,                0.43068,                0.93834,                0.08867,                0.00128,                0.00313,                0.00061,                 3.4455,                  2.832,                 5.3527,                 5.4421,                 3.8821,                 11.834,              0.0015644,              0.0015644,              0.0015644
                     25,                0.68653,                0.46077,                0.92465,                0.80519,                0.41458,                0.95778,                0.02555,                0.02821,                  0.005,                0.00092,                 3.3683,                 6.2836,                 4.1318,                 4.9392,                 4.8055,                 6.8775,              0.0015446,              0.0015446,              0.0015446
                     26,                0.65906,                 0.4493,                 0.8926,                0.79399,                0.39375,                 0.9177,                 0.0888,                0.08462,                0.02357,                0.00611,                 3.6162,                 3.7596,                 3.1021,                 4.4041,                 5.3423,                 3.3301,              0.0015248,              0.0015248,              0.0015248
                     27,                0.64363,                0.44708,                0.90387,                 0.7506,                0.41771,                0.92916,                 0.5392,                0.27003,                0.28888,                0.12857,                 2.6679,                 2.1123,                 2.0219,                 2.9336,                 2.5462,                 2.0078,               0.001505,               0.001505,               0.001505
                     28,                0.62673,                0.42704,                0.89019,                0.74522,                0.36213,                0.92064,                 0.5033,                0.33127,                0.35197,                0.17808,                  2.068,                 1.7612,                 1.6154,                 2.4503,                 2.5806,                 1.7208,              0.0014852,              0.0014852,              0.0014852
                     29,                0.62856,                0.42655,                0.89385,                0.76249,                0.38862,                 0.9199,                0.37322,                0.33462,                0.29658,                 0.1373,                 2.1448,                 2.0557,                 1.6174,                 2.3573,                 3.1288,                 1.7223,              0.0014654,              0.0014654,              0.0014654
                     30,                0.64781,                  0.418,                0.90371,                 0.7881,                0.36669,                0.92906,                0.59316,                0.47949,                0.53179,                0.29141,                 1.6016,                 1.3879,                 1.2889,                 1.8237,                 2.1048,                 1.4182,              0.0014456,              0.0014456,              0.0014456
                     31,                0.60652,                0.39068,                0.87535,                0.73436,                  0.317,                0.89942,                0.44632,                0.35897,                0.34065,                0.16598,                  2.383,                 2.2029,                 1.8017,                 2.3081,                 2.8241,                 1.6986,              0.0014258,              0.0014258,              0.0014258
                     32,                0.58851,                0.37817,                0.87705,                0.71223,                0.32541,                 0.9029,                0.36852,                0.32821,                0.30228,                0.14507,                  2.686,                 2.2843,                 2.1658,                 2.5212,                 3.7485,                 1.8298,               0.001406,               0.001406,               0.001406
                     33,                0.57994,                0.38484,                0.89105,                0.69306,                0.35123,                0.91512,                0.45099,                0.30385,                0.31295,                0.14572,                 2.6341,                 2.0818,                 2.1239,                 2.5831,                 3.3916,                 1.8699,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.5917,                0.37375,                0.89435,                0.72026,                0.32283,                 0.9188,                0.68133,                0.44103,                0.51474,                0.25849,                 1.9338,                 1.5626,                 1.6311,                 2.0977,                  2.326,                 1.6146,              0.0013664,              0.0013664,              0.0013664
                     35,                0.55285,                0.35364,                0.86519,                0.64602,                0.29929,                0.88593,                0.81188,                0.62949,                0.73782,                0.46614,                 1.2134,                0.91549,                  1.163,                 1.4565,                 1.5235,                 1.2546,              0.0013466,              0.0013466,              0.0013466
                     36,                0.56888,                0.36689,                0.86308,                0.70784,                0.35001,                 0.8955,                0.81944,                0.72821,                0.81926,                0.55297,                0.96717,                0.77054,                  1.029,                 1.1929,                 1.2833,                 1.1296,              0.0013268,              0.0013268,              0.0013268
                     37,                0.56778,                0.37055,                0.86756,                0.66465,                0.31459,                0.89306,                0.86863,                0.82564,                0.89898,                0.68432,                0.75564,                0.57587,                0.92574,                0.89937,                0.76433,                0.98159,               0.001307,               0.001307,               0.001307
                     38,                0.57236,                0.37366,                0.86634,                0.68786,                0.31968,                0.89928,                0.77841,                0.77461,                0.84363,                0.61708,                0.83039,                0.67845,                0.97242,                 1.0287,                0.90304,                 1.0348,              0.0012872,              0.0012872,              0.0012872
                     39,                0.61185,                0.38677,                0.87912,                0.76465,                0.35724,                0.91763,                0.79734,                0.72308,                0.80948,                0.58614,                0.89196,                0.73886,                  1.018,                  1.073,                 1.1582,                 1.0723,              0.0012674,              0.0012674,              0.0012674
                     40,                0.56324,                0.35141,                0.87161,                0.66643,                 0.3167,                0.89373,                0.80384,                0.74603,                0.82901,                0.60329,                0.88541,                0.62826,                 1.0134,                 1.0569,                0.99178,                 1.0627,              0.0012476,              0.0012476,              0.0012476
