                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62986,                 3.4668,                0.87959,                0.63986,                 4.1312,                0.87504,                0.45344,                0.68392,                0.52635,                 0.3869,                0.99028,                 2.8554,                0.88534,                 1.0177,                 2.6335,                0.89454,                0.00012,                0.00012,                0.00012
                      2,                0.90734,                 1.6635,                 0.9759,                0.91827,                 2.4388,                0.96593,                 0.8812,                0.71667,                0.81308,                 0.6315,                0.83339,                 1.3523,                0.89377,                0.81441,                 1.0285,                0.88306,             0.00025871,             0.00025871,             0.00025871
                      3,                0.66558,                0.74349,                0.91207,                0.72238,                 1.1844,                0.90365,                0.44465,                0.27564,                 0.2796,                0.16532,                 1.7161,                 1.7649,                 1.3838,                 1.8736,                 2.1887,                 1.3636,             0.00039604,             0.00039604,             0.00039604
                      4,                0.65393,                0.64086,                 0.9064,                0.71674,                0.78533,                0.91801,                0.44465,                0.27564,                 0.2796,                0.16532,                 3.7664,                 360.13,                 2.8575,                 5.2266,                 23.444,                 3.9014,             0.00053198,             0.00053198,             0.00053198
                      5,                0.71648,                0.60164,                0.90889,                0.78874,                0.66705,                0.91884,                0.00043,                0.00897,                0.00022,                  7e-05,                 4.8057,                 2360.6,                 10.248,                  5.755,                 3058.6,                 15.491,             0.00066654,             0.00066654,             0.00066654
                      6,                0.74471,                0.59601,                0.93998,                0.81337,                0.60477,                0.95268,                0.00117,                0.02436,                 0.0006,                0.00012,                 3.7452,                 949.71,                 12.424,                 5.4467,                 244.51,                 33.206,             0.00079971,             0.00079971,             0.00079971
                      7,                 0.8591,                0.65211,                0.96786,                 0.9631,                0.64317,                0.98539,                0.00117,                0.02436,                 0.0006,                0.00012,                 3.9127,                  37907,                 167.27,                 1.0508,             2.7339e+05,                 13.334,             0.00093149,             0.00093149,             0.00093149
                      8,                0.78396,                0.59031,                0.92633,                0.88707,                0.53455,                0.94401,                  6e-05,                0.00128,                  3e-05,                  1e-05,                 4.0121,             1.7438e+06,                 259.11,                 0.5458,             8.3314e+05,                  33.52,              0.0010619,              0.0010619,              0.0010619
                      9,                0.80004,                0.64695,                0.94729,                0.90389,                0.78042,                0.97981,                0.00025,                0.00513,                0.00012,                  2e-05,                 4.0842,                 1398.5,                 74.281,                 0.1763,              4.363e+06,                0.95519,              0.0011909,              0.0011909,              0.0011909
                     10,                0.79227,                0.59934,                0.96618,                0.88607,                0.70722,                0.98872,                0.00031,                0.00641,                0.00016,                  6e-05,                  4.385,                 641.55,                 13.224,                0.31504,             2.0465e+06,                 7.4856,              0.0013185,              0.0013185,              0.0013185
                     11,                0.90762,                0.60293,                 1.0171,                 1.0059,                0.63729,                 1.0275,                0.00031,                0.00641,                0.00016,                  6e-05,                 3.9563,                  39327,                 14.478,                0.31627,             5.3002e+06,                 11.837,              0.0014448,              0.0014448,              0.0014448
                     12,                 1.1234,                0.73644,                 1.0509,                 1.2286,                 0.7153,                 1.0552,                0.00012,                0.00256,                  6e-05,                  2e-05,                 5.2277,             1.5683e+05,                 836.15,                0.50962,                  2.365,                0.57784,              0.0015696,              0.0015696,              0.0015696
                     13,                0.93706,                0.60312,                0.99845,                 1.0589,                0.55745,                 1.0336,                0.65395,                0.38279,                0.40475,                0.22082,                 2.0628,                 1448.4,                 9.3595,                 1.6093,                 1.9406,                 1.3783,              0.0016931,              0.0016931,              0.0016931
                     14,                0.97745,                 0.6664,                 1.0164,                 1.0792,                0.61609,                 1.0407,                0.61545,                0.48333,                0.51396,                0.28584,                 1.5898,                 1.3542,                 1.4838,                 1.6584,                 1.8706,                 1.3938,              0.0018152,              0.0018152,              0.0018152
                     15,                 1.0046,                0.74086,                 1.0002,                 1.1207,                0.76492,                 1.0293,                0.00889,                0.18462,                0.01138,                0.00458,                 3.6314,                   11.1,                  8.208,                 3.5352,                 11.555,                   3.56,              0.0018614,              0.0018614,              0.0018614
                     16,                0.96909,                0.76531,                 1.0073,                 1.0884,                0.64305,                 1.0391,                0.00191,                0.03974,                0.00099,                0.00023,                 3.7371,                 12.043,                 8.3012,                 3.3412,                 17.169,                 4.5566,              0.0018614,              0.0018614,              0.0018614
                     17,                0.79511,                0.67755,                0.95811,                0.98216,                0.69171,                 1.0117,                0.00056,                0.01154,                0.00028,                 0.0001,                 3.7032,                 20.526,                 11.545,                0.02208,                 70.329,                0.02772,              0.0018515,              0.0018515,              0.0018515
                     18,                0.83705,                 0.6498,                0.97276,                 1.0066,                0.65753,                 1.0071,                0.51891,                0.15385,                0.16038,                 0.1177,                 2.1951,                 5.5715,                 2.0724,                 2.5329,                  7.206,                 2.2283,              0.0018416,              0.0018416,              0.0018416
                     19,                 0.7919,                0.55261,                0.98044,                0.92891,                0.50576,                 1.0142,                0.82349,                0.59359,                0.68219,                0.45942,                 1.2552,                 1.3238,                 1.1634,                 1.4558,                 1.7993,                 1.1976,              0.0018317,              0.0018317,              0.0018317
                     20,                 0.7754,                0.54445,                0.92608,                0.92572,                0.50203,                0.95386,                0.82349,                0.59359,                0.68219,                0.45942,                 4.1384,                  8.058,                 6.5987,                  3.984,                 82.324,                 4.7135,              0.0018218,              0.0018218,              0.0018218
                     21,                0.74437,                  0.524,                0.93659,                0.88307,                0.44652,                0.98002,                0.82349,                0.59359,                0.68219,                0.45942,                 4.0204,                 18.304,                 9.9196,                  6.646,                 1801.6,                 2.4984,              0.0018119,              0.0018119,              0.0018119
                     22,                0.83803,                0.54345,                0.95646,                0.99901,                0.48667,                 1.0052,                0.82349,                0.59359,                0.68219,                0.45942,                 3.8016,                 5.4641,                 5.4269,                 4.7214,                 28.301,                 5.0948,               0.001802,               0.001802,               0.001802
                     23,                0.74995,                0.48763,                0.93848,                0.87413,                0.41711,                0.97576,                0.82349,                0.59359,                0.68219,                0.45942,                 3.9459,                 8.3468,                 7.7687,                 4.8358,                 44.669,                 7.1933,              0.0017921,              0.0017921,              0.0017921
                     24,                0.70382,                0.47382,                0.91547,                0.85214,                0.43478,                0.95441,                0.83478,                0.10365,                0.19253,                0.10944,                 2.3347,                 2.0916,                 1.7065,                 2.5024,                 4.5641,                 1.7131,              0.0017822,              0.0017822,              0.0017822
                     25,                0.69714,                0.46588,                0.92286,                0.83821,                0.40594,                0.95624,                0.79082,                0.71667,                0.79481,                0.50595,                 1.1001,                 1.0114,                 1.0918,                 1.3997,                 1.0151,                 1.1973,              0.0017723,              0.0017723,              0.0017723
                     26,                0.71539,                0.47788,                0.91094,                0.86037,                0.41867,                0.93312,                 0.7681,                0.72949,                0.77155,                 0.5051,                 1.0261,                0.83612,                 1.0534,                 1.3386,                0.97005,                 1.1688,              0.0017624,              0.0017624,              0.0017624
                     27,                0.68249,                0.47598,                0.91557,                0.83026,                0.41859,                0.95343,                0.92723,                0.84103,                0.91395,                0.67592,                0.83579,                0.64794,                0.93349,                 1.0163,                0.61382,                0.98897,              0.0017525,              0.0017525,              0.0017525
                     28,                0.73704,                0.46912,                0.91956,                0.86352,                0.39966,                0.95125,                0.93085,                0.84563,                0.90038,                0.69941,                0.77362,                0.64407,                0.90405,                0.94313,                0.75315,                0.94406,              0.0017426,              0.0017426,              0.0017426
                     29,                0.73042,                0.44526,                 0.9211,                0.86978,                 0.4009,                0.94483,                0.95447,                0.86923,                0.91767,                0.70266,                0.79939,                0.61171,                 0.9048,                0.94621,                0.62383,                0.94568,              0.0017327,              0.0017327,              0.0017327
                     30,                0.72344,                0.44309,                0.90723,                0.86339,                0.36661,                0.94083,                0.82116,                0.33205,                0.39166,                 0.2902,                 1.2767,                 1.3732,                 1.1106,                 1.6343,                 3.2971,                 1.2154,              0.0017228,              0.0017228,              0.0017228
                     31,                0.71572,                0.43796,                0.89561,                0.81303,                0.37389,                0.91467,                0.78223,                0.08077,                0.08483,                 0.0602,                 2.9137,                 6.9153,                 3.2706,                 2.6351,                  4.174,                 1.6958,              0.0017129,              0.0017129,              0.0017129
                     32,                0.67129,                0.41962,                0.89431,                0.79792,                0.37055,                0.92515,                0.45189,                0.02692,                0.02592,                0.02049,                 3.7774,                 5.9721,                 2.7195,                 3.4826,                 10.344,                 2.2984,               0.001703,               0.001703,               0.001703
                     33,                0.61918,                0.40426,                0.89471,                0.72828,                0.37725,                0.92229,                0.26342,                0.00897,                0.00834,                0.00695,                 3.8092,                 6.0972,                 2.7267,                  3.212,                 10.763,                 2.2492,              0.0016931,              0.0016931,              0.0016931
