                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6858,                 1.0857,                 1.4202,                0.82421,                0.72308,                0.80608,                 0.4064,                 1.7549,                 1.0264,                 1.3395,               0.001307,               0.001307,               0.001307
                     37,                 1.7301,                 1.1189,                 1.4731,                0.80396,                0.71667,                0.79038,                0.36899,                 1.8455,                 1.0707,                 1.3668,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6595,                 1.0398,                 1.4118,                0.80278,                0.70385,                0.78027,                0.41646,                 1.6834,                 1.0946,                 1.3419,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6337,                 1.0282,                 1.3833,                0.83535,                0.72851,                 0.8098,                0.40251,                 1.7811,                 1.1274,                 1.3796,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5729,                 1.0272,                 1.3866,                0.77766,                0.69872,                0.75327,                0.36308,                 1.8418,                 1.0854,                 1.3754,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5788,                 1.0005,                 1.3862,                0.77108,                0.70256,                0.75094,                0.36558,                  1.847,                 1.0471,                 1.3678,               0.001208,               0.001208,               0.001208
                     42,                 1.5709,                 1.0408,                 1.4177,                0.79595,                0.72308,                0.79832,                0.44351,                 1.6046,                 1.0129,                  1.291,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6223,                 1.0203,                 1.3925,                0.79852,                0.72436,                0.79273,                0.39264,                 1.7906,                 1.0343,                 1.3354,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5254,                0.99179,                 1.3762,                0.82558,                0.75852,                0.83581,                0.48322,                 1.5293,                 0.9229,                 1.2512,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5196,                0.96484,                 1.3155,                0.85162,                0.75513,                0.83739,                0.48857,                  1.503,                0.93125,                 1.2439,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5168,                0.97041,                  1.315,                0.83646,                0.76066,                0.82883,                 0.4475,                 1.5981,                0.99289,                 1.2743,               0.001109,               0.001109,               0.001109
                     47,                 1.4709,                0.97047,                 1.2967,                0.79004,                 0.6859,                0.74455,                0.38141,                  1.713,                 1.0749,                 1.3121,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4984,                 0.9861,                 1.3456,                0.78986,                 0.6641,                0.74316,                0.38111,                 1.7812,                  1.049,                 1.3347,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4289,                0.91615,                 1.2871,                0.85444,                0.66026,                0.76776,                 0.4038,                  1.708,                0.99464,                 1.3065,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4302,                0.94228,                 1.3322,                0.85647,                0.68846,                0.77907,                0.40756,                 1.7194,                0.95501,                 1.2995,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3837,                0.90103,                 1.2837,                0.82167,                0.74359,                0.80846,                0.43032,                 1.6904,                0.95592,                 1.2845,                0.00101,                0.00101,                0.00101
                     52,                 1.4268,                0.91384,                 1.3014,                0.79291,                0.67564,                0.74842,                0.42091,                 1.6409,                 1.0298,                 1.2951,              0.0009902,              0.0009902,              0.0009902
