                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70611,                 1.4555,                0.91715,                0.74718,                 1.9639,                0.92054,                 0.0032,                0.06705,                0.00171,                0.00077,                 4.3166,                 2281.5,                 5.7434,                 3.6936,                 6316.5,                 3.1432,             0.00064706,             0.00064706,             0.00064706
                      2,                0.83492,                0.62488,                0.97271,                0.93624,                0.66543,                0.99312,                 0.0032,                0.06705,                0.00171,                0.00077,                 7.1355,             1.7983e+05,                 1014.5,                 4.6417,             1.7691e+05,                 25.862,              0.0013072,              0.0013072,              0.0013072
                      3,                0.82016,                0.61372,                0.96338,                0.93632,                0.51556,                0.98965,                0.00011,                0.00233,                  6e-05,                  1e-05,                 5.4919,                 973.41,                 19.426,                 6.1341,                 3064.7,                 9.3268,              0.0019608,              0.0019608,              0.0019608
                      4,                0.86921,                0.58034,                 0.9712,                 1.0145,                0.51814,                  1.004,                0.00025,                0.00518,                0.00012,                  3e-05,                 4.1063,                 11.267,                 22.789,                 6.9479,                 140.71,                 7.4337,              0.0019703,              0.0019703,              0.0019703
                      5,                0.77045,                0.51205,                0.95148,                0.91771,                0.47768,                0.98634,                0.79337,                0.44939,                0.56199,                0.37826,                 1.2294,                 1.3808,                   1.14,                 1.5385,                 1.8659,                 1.4292,              0.0019703,              0.0019703,              0.0019703
                      6,                0.67876,                0.45906,                0.91797,                 0.8055,                0.42884,                0.94891,                0.89656,                0.86435,                 0.9208,                0.70231,                0.75896,                0.51692,                0.92227,                0.90274,                0.54438,                0.96408,              0.0019604,              0.0019604,              0.0019604
                      7,                0.63183,                0.41615,                0.89865,                0.76091,                0.35236,                 0.9284,                0.01006,                0.21098,                0.00615,                0.00226,                 2.8259,                 7.5136,                 1.8927,                 3.1003,                 10.455,                 3.3896,              0.0019505,              0.0019505,              0.0019505
                      8,                0.63891,                0.41118,                0.89893,                0.76179,                0.35856,                0.92752,                0.89212,                 0.8351,                0.91252,                0.70131,                0.75134,                0.52553,                0.92177,                0.89488,                0.57388,                0.96304,              0.0019406,              0.0019406,              0.0019406
                      9,                0.60845,                0.38624,                0.88465,                0.71169,                0.37962,                0.91012,                0.93403,                0.87595,                0.94138,                0.76282,                0.67684,                0.43199,                0.88443,                 0.7847,                0.45926,                0.90922,              0.0019307,              0.0019307,              0.0019307
                     10,                0.58497,                0.37327,                 0.8822,                0.68587,                0.33216,                0.90861,                0.89192,                0.85021,                0.91704,                 0.6812,                0.82254,                0.54936,                 0.9684,                  0.942,                0.74803,                 1.0065,              0.0019208,              0.0019208,              0.0019208
                     11,                0.55224,                0.35733,                0.87465,                0.65727,                0.32242,                0.89897,                0.94285,                0.87911,                0.94992,                0.77557,                0.62742,                0.41282,                0.86983,                0.73515,                0.45364,                0.89031,              0.0019109,              0.0019109,              0.0019109
                     12,                0.58212,                0.37326,                0.87321,                0.69508,                0.32692,                0.90039,                0.94326,                 0.8716,                0.94726,                0.76663,                0.67962,                0.43585,                0.89116,                  0.781,                0.44867,                0.90897,               0.001901,               0.001901,               0.001901
